         2675649 function calls (2624534 primitive calls) in 19.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1627    1.651    0.001    1.651    0.001 {method 'read' of '_io.BufferedReader' objects}
       12    1.327    0.111    1.372    0.114 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
      200    1.060    0.005    1.060    0.005 {method 'run_backward' of 'torch._C._EngineBase' objects}
     4440    0.911    0.000    0.911    0.000 {built-in method posix.stat}
      717    0.725    0.001    0.725    0.001 {built-in method io.open_code}
    90240    0.717    0.000    0.717    0.000 {built-in method torch.tensor}
298769/298501    0.576    0.000    0.654    0.000 {built-in method builtins.isinstance}
     2192    0.572    0.000    0.625    0.000 {method 'to' of 'torch._C.TensorBase' objects}
      730    0.420    0.001    0.420    0.001 {method 'decompress' of 'zlib.Decompress' objects}
     2400    0.407    0.000    0.407    0.000 {built-in method torch.lstm}
    50231    0.389    0.000    1.220    0.000 {built-in method builtins.all}
   118800    0.385    0.000    0.547    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:24(<genexpr>)
    12800    0.353    0.000    2.021    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:100(__getitem__)
    23801    0.252    0.000    0.537    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:71(join)
4113/1423    0.241    0.000    1.097    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:401(_joinrealpath)
      200    0.219    0.001    1.559    0.008 /home/sbose/time-series-forecasting-federation/models/LSTM/LSTMAR.py:81(forward)
122152/121737    0.214    0.000    0.216    0.000 {built-in method builtins.len}
   110406    0.206    0.000    0.206    0.000 {method 'append' of 'list' objects}
76396/76395    0.200    0.000    0.241    0.000 {built-in method builtins.getattr}
      435    0.192    0.000    0.414    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/core/assumptions.py:614(_prepare_class_assumptions)
 13445/86    0.170    0.000    0.592    0.007 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:128(deepcopy)
    52888    0.160    0.000    0.201    0.000 {built-in method builtins.hasattr}
      717    0.144    0.000    0.144    0.000 {built-in method marshal.loads}
    23798    0.133    0.000    0.133    0.000 {built-in method posix.lstat}
    63308    0.126    0.000    0.126    0.000 {method 'get' of 'dict' objects}
    30778    0.119    0.000    0.175    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:41(_get_sep)
    38400    0.119    0.000    0.175    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:168(<genexpr>)
     2858    0.116    0.000    0.219    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:338(normpath)
    15509    0.112    0.000    0.192    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:7(supercedes)
    26600    0.109    0.000    0.909    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:23(__init__)
    50887    0.107    0.000    0.107    0.000 {method 'startswith' of 'str' objects}
    47297    0.098    0.000    0.098    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1696(__getattr__)
   282/27    0.088    0.000    0.317    0.012 /home/sbose/.conda/envs/FL/lib/python3.10/sre_parse.py:494(_parse)
     2400    0.086    0.000    0.086    0.000 {built-in method torch._C._nn.linear}
    41525    0.084    0.000    0.084    0.000 {built-in method posix.fspath}
     2408    0.082    0.000    0.313    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:262(_weights_have_changed)
      200    0.081    0.000    0.185    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/adam.py:82(_init_group)
