         8274285 function calls (8097115 primitive calls) in 66.252 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    9.129    1.304    9.129    1.304 {method 'gather' of 'mpi4py.MPI.Comm' objects}
   803310    6.124    0.000    6.124    0.000 {built-in method torch.tensor}
     1627    4.630    0.003    4.630    0.003 {method 'read' of '_io.BufferedReader' objects}
  1064610    3.522    0.000    5.022    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:24(<genexpr>)
       12    3.513    0.293    3.559    0.297 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
   114690    3.130    0.000   17.961    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:100(__getitem__)
   267020    2.923    0.000    9.588    0.000 {built-in method builtins.all}
    21600    2.313    0.000    2.313    0.000 {built-in method torch.lstm}
1143282/1142708    2.158    0.000    2.325    0.000 {built-in method builtins.isinstance}
     1800    1.846    0.001   12.376    0.007 /home/sbose/time-series-forecasting-federation/models/LSTM/LSTMAR.py:81(forward)
      150    1.348    0.009    1.348    0.009 {method 'run_backward' of 'torch._C._EngineBase' objects}
   344070    1.043    0.000    1.539    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:168(<genexpr>)
   238380    0.978    0.000    8.316    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:23(__init__)
    13788    0.940    0.000    0.984    0.000 {method 'to' of 'torch._C.TensorBase' objects}
266159/266158    0.882    0.000    1.229    0.000 {built-in method builtins.getattr}
   418776    0.879    0.000    0.879    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1696(__getattr__)
   221738    0.807    0.000    1.164    0.000 {built-in method builtins.hasattr}
    21606    0.737    0.000    2.820    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:262(_weights_have_changed)
     4383    0.731    0.000    0.731    0.000 {built-in method posix.stat}
    21600    0.689    0.000    7.626    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:850(forward)
    21600    0.671    0.000    0.671    0.000 {built-in method torch._C._nn.linear}
433663/433246    0.671    0.000    0.673    0.000 {built-in method builtins.len}
      717    0.467    0.001    0.467    0.001 {built-in method io.open_code}
68400/3600    0.452    0.000   12.712    0.004 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1534(_call_impl)
      730    0.421    0.001    0.421    0.001 {method 'decompress' of 'zlib.Decompress' objects}
18000/1800    0.378    0.000    3.504    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:108(collate)
   114690    0.373    0.000    0.373    0.000 {method 'repeat' of 'numpy.ndarray' objects}
     1815    0.308    0.000   22.222    0.012 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/dataloader.py:673(_next_data)
   114690    0.294    0.000    0.294    0.000 {method 'reshape' of 'numpy.generic' objects}
68400/3600    0.288    0.000   12.728    0.004 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1528(_wrapped_call_impl)
    14400    0.281    0.000    0.281    0.000 {built-in method torch.relu}
   133872    0.280    0.000    0.280    0.000 {method 'size' of 'torch._C.TensorBase' objects}
    12600    0.277    0.000    0.277    0.000 {built-in method torch.stack}
    21600    0.259    0.000    1.108    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:816(check_forward_args)
   135566    0.257    0.000    0.257    0.000 {method 'append' of 'list' objects}
